"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"918","West Bengal","Providing drains and gutters for public drainage","WS/MP18248/2024-2025/153846","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","DR. SHARMILA SARKAR","BARDHAMAN PURBA(SC)","03-Aug-2026","MR NUR ALAM SK","Payment In-Progress","637871"
"919","Telangana","Construction of toilet blocks","WS/MP18192/2025-2026/216155","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","DR.MALLU RAVI","NAGARKURNOOL(SC)","03-Sep-2026","KESIREDDY MURALIDHAR REDDY","Payment In-Progress","340538"
"920","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Badami","Payment In-Progress","7980"
"921","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Badami","Payment In-Progress","3705"
"922","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Sopu devi","Payment In-Progress","3990"
"923","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","Sopu devi","Payment In-Progress","7980"
"924","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","08-May-2026","Singh Construction","Payment In-Progress","911447"
"925","Rajasthan","Development of playground","WS/MP18166/2025-2026/249915","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KANTILAL","Payment In-Progress","29400"
"926","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KANTILAL","Payment In-Progress","5250"
"927","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18166/2025-2026/249920","JALORE(DISTRICT COLLECTOR JALORE_IDA)","LUMBARAM","JALORE","04-Sep-2026","KARTARAM","Payment In-Progress","2728"
