"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"843","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP370/2025-2026/270550","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","25-Aug-2026","Geetanjali Traders","Payment In-Progress","465600"
"844","Odisha","Purchase of IT systems, including hardware and software for educational purposes","WS/MP370/2025-2026/270552","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","25-Aug-2026","Geetanjali Traders","Payment In-Progress","465600"
"845","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18346/2026-2027/277203","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","25-Jul-2026","SHIV ENTERPRISES","Payment In-Progress","489646"
"846","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18346/2026-2027/277213","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","25-Jul-2026","SHIV ENTERPRISES","Payment In-Progress","385120"
"847","West Bengal","Construction of additional rooms and halls in the existing public and community building","WS/MP858/2026-2027/252029","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","BOLPUR(SC)","24-Aug-2026","SEKH BASIRUDDIN","Payment In-Progress","1100000"
"848","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18076/2025-2026/167586","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","02-Sep-2026","PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA","Payment In-Progress","125000"
"849","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18076/2025-2026/167585","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","02-Sep-2026","PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA","Payment In-Progress","125000"
"850","Tamil Nadu","Security gates in streets/public place for safety purpose","WS/MP18183/2025-2026/245149","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","01-Sep-2026","GM Constructions and Infra P","Payment In-Progress","1131858"
"851","Assam","Construction of community centers and community halls","WS/MP18029/2025-2026/247699","Biswanath(Deputy Commissioner Biswanath_IDA)","RANJIT DUTTA","Sonitpur","02-Sep-2026","R ENTERPRISE","Payment In-Progress","930816"
"852","Odisha","Street lights","WS/MP18310/2025-2026/240339","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","31-Aug-2026","BAHANAGA BLOCK JUNIOR ENGINEER IV","Payment In-Progress","33000"
"853","Odisha","Street lights","WS/MP18310/2025-2026/240334","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","31-Aug-2026","BAHANAGA BLOCK JUNIOR ENGINEER IV","Payment In-Progress","33000"
"854","Odisha","Street lights","WS/MP18310/2025-2026/240197","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","29-Aug-2026","BAHANAGA BLOCK JUNIOR ENGINEER IV","Payment In-Progress","33000"
"855","Odisha","Street lights","WS/MP18310/2025-2026/240340","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","29-Aug-2026","BAHANAGA BLOCK JUNIOR ENGINEER IV","Payment In-Progress","33000"
"856","Odisha","Street lights","WS/MP18310/2025-2026/240335","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","29-Aug-2026","BAHANAGA BLOCK JUNIOR ENGINEER IV","Payment In-Progress","44000"
"857","Odisha","Construction of community centers and community halls","WS/MP18139/2025-2026/202075","Baragada(DISTRICT COLLECTOR BARAGARH_IDA)","PRADEEP PUROHIT","BARGARH","24-Aug-2026","BIJEPI BAGH","Payment In-Progress","278598"
"858","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","Shinda Singh","Payment In-Progress","109572"
"859","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18238/2025-2026/152813","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","11-Mar-2026","Mhatma budh prathmik vidyalaya Musaila Khurd","Payment In-Progress","150000"
"860","Uttar Pradesh","Installing hand pumps","WS/MP18225/2024-2025/144315","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Dec-2025","VIVEK ENTERPRISES","Payment In-Progress","29578"
"861","Gujarat","Construction of community centers and community halls","WS/MP323/2025-2026/180054","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","21-Aug-2026","Indroi Gram Panchayat","Payment In-Progress","492857"
"862","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18311/2024-2025/142721","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","03-Sep-2026","Jagdish Singh","Payment In-Progress","24128"
"863","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18133/2025-2026/253823","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","04-Sep-2026","MANDAR RAJENDRA KHALADKAR","Payment In-Progress","499480"
"864","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/270707","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Faggan Singh Kulaste","MANDLA(ST)","31-Aug-2026","GRAM PANCHAYAT LIGHARI","Payment In-Progress","150000"
"865","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","31-Aug-2026","BDO RAJGANGPUR DEDUCTION","Payment In-Progress","3000"
"866","Karnataka","Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","WS/MP18263/2025-2026/219644","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","04-Sep-2026","DISTRICT DISABLED SENIOR CITIZEN WELFARE OFFICER","Payment In-Progress","213150"
"867","Uttar Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP18346/2024-2025/162437","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","28-Oct-2025","Aditya Construction","Payment In-Progress","19199"
